No,District,State,Zone
1,South Andaman,Andaman and Nicobar Islands,Red
2,Nicobars,Andaman and Nicobar Islands,Green
3,North and Middle Andaman,Andaman and Nicobar Islands,Green
4,Kurnool,Andhra Pradesh,Red
5,Guntur,Andhra Pradesh,Red
6,Krishna,Andhra Pradesh,Red
7,Chittoor,Andhra Pradesh,Red
8,S.P.S. Nellore,Andhra Pradesh,Red
9,West Godavari,Andhra Pradesh,Orange
10,Y.S.R. Kadapa,Andhra Pradesh,Orange
11,Anantapur,Andhra Pradesh,Orange
12,Prakasam,Andhra Pradesh,Orange
13,East Godavari,Andhra Pradesh,Orange
14,Srikakulam,Andhra Pradesh,Orange
15,Visakhapatnam,Andhra Pradesh,Orange
16,Vizianagaram,Andhra Pradesh,Green
17,Lohit,Arunachal Pradesh,Green
18,Changlang,Arunachal Pradesh,Green
19,Upper Dibang Valley,Arunachal Pradesh,Green
20,East Kameng,Arunachal Pradesh,Green
21,East Siang,Arunachal Pradesh,Green
22,Kurung Kumey,Arunachal Pradesh,Green
23,Lower Dibang Valley,Arunachal Pradesh,Green
24,Lower Subansiri,Arunachal Pradesh,Green
25,Papum Pare,Arunachal Pradesh,Green
26,Tawang,Arunachal Pradesh,Green
27,Tirap,Arunachal Pradesh,Green
28,Upper Siang,Arunachal Pradesh,Green
29,Upper Subansiri,Arunachal Pradesh,Green
30,West Kameng,Arunachal Pradesh,Green
31,West Siang,Arunachal Pradesh,Green
32,Anjaw,Arunachal Pradesh,Green
33,Longding,Arunachal Pradesh,Green
34,Kra Daadi,Arunachal Pradesh,Green
35,Namsai,Arunachal Pradesh,Green
36,Siang,Arunachal Pradesh,Green
37,Kamle,Arunachal Pradesh,Green
38,Lower Siang,Arunachal Pradesh,Green
39,Pakke Kessang,Arunachal Pradesh,Green
40,Lepa Rada,Arunachal Pradesh,Green
41,Shi Yomi,Arunachal Pradesh,Green
42,Dhubri,Assam,Orange
43,Morigaon,Assam,Orange
44,Goalpara,Assam,Orange
45,Golaghat,Assam,Green
46,Karimganj,Assam,Green
47,Nalbari,Assam,Green
48,Hailakandi,Assam,Green
49,Cachar,Assam,Green
50,Kamrup,Assam,Green
51,Lakhimpur,Assam,Green
52,Kamrup Metropolitan,Assam,Green
53,South Salmara Mankachar,Assam,Green
54,Barpeta,Assam,Green
55,Bongaigaon,Assam,Green
56,Darrang,Assam,Green
57,Dhemaji,Assam,Green
58,Dibrugarh,Assam,Green
59,Jorhat,Assam,Green
60,Karbi Anglong,Assam,Green
61,Kokrajhar,Assam,Green
62,Nagaon,Assam,Green
63,Dima Hasao,Assam,Green
64,Sivasagar,Assam,Green
65,Sonitpur,Assam,Green
66,Tinsukia,Assam,Green
67,Chirang,Assam,Green
68,Baksa,Assam,Green
69,Udalguri,Assam,Green
70,Biswanath,Assam,Green
71,Majuli,Assam,Green
72,Charaideo,Assam,Green
73,Hojai,Assam,Green
74,West Karbi Anglong,Assam,Green
75,Munger,Bihar,Red
76,Patna,Bihar,Red
77,Rohtas,Bihar,Red
78,Buxar,Bihar,Red
79,Gaya,Bihar,Red
80,Nalanda,Bihar,Orange
81,Kaimur,Bihar,Orange
82,Siwan,Bihar,Orange
83,Gopalganj,Bihar,Orange
84,Bhojpur,Bihar,Orange
85,Begusarai,Bihar,Orange
86,Aurangabad,Bihar,Orange
87,Madhubani,Bihar,Orange
88,East Champaran,Bihar,Orange
89,Bhagalpur,Bihar,Orange
90,Arwal,Bihar,Orange
91,Saran,Bihar,Orange
92,Nawada,Bihar,Orange
93,Lakhisarai,Bihar,Orange
94,Banka,Bihar,Orange
95,Vaishali,Bihar,Orange
96,Darbhanga,Bihar,Orange
97,Jehanabad,Bihar,Orange
98,Madhepura,Bihar,Orange
99,Purnia,Bihar,Orange
100,Sheikhpura,Bihar,Green
101,Araria,Bihar,Green
102,Jamui,Bihar,Green
103,Katihar,Bihar,Green
104,Khagaria,Bihar,Green
105,Kishanganj,Bihar,Green
106,Muzaffarpur,Bihar,Green
107,West Champaran,Bihar,Green
108,Saharsa,Bihar,Green
109,Samastipur,Bihar,Green
110,Sheohar,Bihar,Green
111,Sitamarhi,Bihar,Green
112,Supaul,Bihar,Green
113,Chandigarh,Chandigarh,Red
114,Raipur,Chhattisgarh,Red
115,Korba,Chhattisgarh,Orange
116,Surajpur,Chhattisgarh,Green
117,Bilaspur,Chhattisgarh,Green
118,Durg,Chhattisgarh,Green
119,Rajnandgaon,Chhattisgarh,Green
120,Bastar,Chhattisgarh,Green
121,Dakshin Bastar Dantewada,Chhattisgarh,Green
122,Dhamtari,Chhattisgarh,Green
123,Janjgir Champa,Chhattisgarh,Green
124,Jashpur,Chhattisgarh,Green
125,Uttar Bastar Kanker,Chhattisgarh,Green
126,Kabeerdham,Chhattisgarh,Green
127,Koriya,Chhattisgarh,Green
128,Mahasamund,Chhattisgarh,Green
129,Raigarh,Chhattisgarh,Green
130,Surguja,Chhattisgarh,Green
131,Bijapur,Chhattisgarh,Green
132,Narayanpur,Chhattisgarh,Green
133,Sukma,Chhattisgarh,Green
134,Kondagaon,Chhattisgarh,Green
135,Baloda Bazar,Chhattisgarh,Green
136,Gariaband,Chhattisgarh,Green
137,Balod,Chhattisgarh,Green
138,Mungeli,Chhattisgarh,Green
139,Balrampur,Chhattisgarh,Green
140,Bametara,Chhattisgarh,Green
141,Dadra and Nagar Haveli,Dadra and Nagar Haveli and Daman and Diu,Green
142,Daman,Dadra and Nagar Haveli and Daman and Diu,Green
143,Diu,Dadra and Nagar Haveli and Daman and Diu,Green
144,South East Delhi,Delhi,Red
145,Central Delhi,Delhi,Red
146,North Delhi,Delhi,Red
147,South Delhi,Delhi,Red
148,North East Delhi,Delhi,Red
149,West Delhi,Delhi,Red
150,Shahdara,Delhi,Red
151,East Delhi,Delhi,Red
152,New Delhi,Delhi,Red
153,North West Delhi,Delhi,Red
154,South West Delhi,Delhi,Red
155,North Goa,Goa,Green
156,South Goa,Goa,Green
157,Ahmedabad,Gujarat,Red
158,Surat,Gujarat,Red
159,Vadodara,Gujarat,Red
160,Anand,Gujarat,Red
161,Banaskantha,Gujarat,Red
162,Panchmahal,Gujarat,Red
163,Bhavnagar,Gujarat,Red
164,Gandhinagar,Gujarat,Red
165,Aravalli,Gujarat,Red
166,Rajkot,Gujarat,Orange
167,Bharuch,Gujarat,Orange
168,Botad,Gujarat,Orange
169,Narmada,Gujarat,Orange
170,Chhota Udaipur,Gujarat,Orange
171,Mahisagar,Gujarat,Orange
172,Mehsana,Gujarat,Orange
173,Patan,Gujarat,Orange
174,Kheda,Gujarat,Orange
175,Valsad,Gujarat,Orange
176,Dahod,Gujarat,Orange
177,Kutch,Gujarat,Orange
178,Navsari,Gujarat,Orange
179,Gir Somnath,Gujarat,Orange
180,Dang,Gujarat,Orange
181,Sabarkantha,Gujarat,Orange
182,Tapi,Gujarat,Orange
183,Jamnagar,Gujarat,Orange
184,Surendranagar,Gujarat,Orange
185,Morbi,Gujarat,Green
186,Amreli,Gujarat,Green
187,Porbandar,Gujarat,Green
188,Junagadh,Gujarat,Green
189,Devbhumi Dwarka,Gujarat,Green
190,Sonipat,Haryana,Red
191,Faridabad,Haryana,Red
192,Gurugram,Haryana,Orange
193,Nuh,Haryana,Orange
194,Panipat,Haryana,Orange
195,Panchkula,Haryana,Orange
196,Palwal,Haryana,Orange
197,Rohtak,Haryana,Orange
198,Hisar,Haryana,Orange
199,Ambala,Haryana,Orange
200,Jhajjar,Haryana,Orange
201,Bhiwani,Haryana,Orange
202,Kaithal,Haryana,Orange
203,Kurukshetra,Haryana,Orange
204,Karnal,Haryana,Orange
205,Jind,Haryana,Orange
206,Sirsa,Haryana,Orange
207,Yamunanagar,Haryana,Orange
208,Fatehabad,Haryana,Orange
209,Charkhi Dadri,Haryana,Orange
210,Mahendragarh,Haryana,Green
211,Rewari,Haryana,Green
212,Una,Himachal Pradesh,Orange
213,Chamba,Himachal Pradesh,Orange
214,Hamirpur,Himachal Pradesh,Orange
215,Kangra,Himachal Pradesh,Orange
216,Sirmaur,Himachal Pradesh,Orange
217,Solan,Himachal Pradesh,Orange
218,Bilaspur,Himachal Pradesh,Green
219,Kinnaur,Himachal Pradesh,Green
220,Kullu,Himachal Pradesh,Green
221,Lahaul and Spiti,Himachal Pradesh,Green
222,Mandi,Himachal Pradesh,Green
223,Shimla,Himachal Pradesh,Green
224,Bandipora,Jammu and Kashmir,Red
225,Shopiyan,Jammu and Kashmir,Red
226,Anantnag,Jammu and Kashmir,Red
227,Srinagar,Jammu and Kashmir,Red
